motion_id,meeting_date,meeting_date_display,meeting_type,decision_stage,title,summary,motion_text,mover,result,yes_count,no_count,conflict_count,absent_count,primary_topic_id,topic_ids,financial_status,financial_amount_cad,financial_direction,financial_timing,funding_source,source_id,source_url,review_status,significance,notes
2024-11-trinity-overnight-264000,2024-11-18,"Nov. 18–19, 2024",General Committee,Committee recommendation,"Trinity overnight program: $264,000","Council supported $264,000 from the Social Services Reserve to extend the overnight drop-in program through summer 2025.","$264,000 for the Trinity Community Centre Overnight Drop-In Program to extend operations for six months the following summer.",Keith Riel,Carried,8,3,0,0,homelessness,homelessness|finance_budget|social,known,264000,adds_program_funding,one_time_2025,Social Services Reserve,minutes-2024-budget-general,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=38914,verified_official_minutes,split_vote|financial_impact|reserve_use,
2024-11-hsf-360000,2024-11-18,"Nov. 18–19, 2024",General Committee,Committee recommendation,"Housing Stability Fund: +$360,000","Council unanimously supported a $360,000 increase to the Housing Stability Fund from the Social Services Reserve.","$360,000 increase to the Housing Stability Fund to support prevention and diversion.",Keith Riel,Carried,11,0,0,0,homelessness,homelessness|social|finance_budget,known,360000,adds_program_funding,one_time_2025,Social Services Reserve,minutes-2024-budget-general,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=38914,verified_official_minutes,financial_impact|reserve_use,
2024-11-brock-worker-280000,2024-11-18,"Nov. 18–19, 2024",General Committee,Committee recommendation,"Brock Mission additional worker: $280,000","Council unanimously supported $280,000 from the Social Services Reserve to maintain Brock Mission capacity at 40 beds.","$280,000 to Brock Mission for an additional worker to keep bed capacity at 40 beds.",Keith Riel,Carried,11,0,0,0,homelessness,homelessness|social|finance_budget,known,280000,adds_program_funding,one_time_2025,Social Services Reserve,minutes-2024-budget-general,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=38914,verified_official_minutes,financial_impact|reserve_use,
2024-11-trinity-daytime-240000,2024-11-18,"Nov. 18–19, 2024",General Committee,Committee recommendation,"Trinity daytime drop-in hours: $240,000","Council supported $240,000 from the Social Services Reserve to extend daytime drop-in operating hours in 2025.","$240,000 from the Social Services Reserve to extend operating hours at the Trinity daytime drop-in program for 2025.",Jeff Leal,Carried,8,3,0,0,homelessness,homelessness|finance_budget|social,known,240000,adds_program_funding,one_time_2025,Social Services Reserve,minutes-2024-budget-general,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=38914,verified_official_minutes,split_vote|financial_impact|reserve_use,
2023-11-tax-ratio-shift-3m,2023-11-23,"Nov. 20–23, 2023",Finance Committee,Committee recommendation,Shift about $3M of 2024 tax burden to commercial/industrial classes,Finance Committee supported increasing the commercial and industrial tax ratios from 1.5 to 1.65 to shift approximately $3 million of the 2024 net tax requirement away from the residential class.,"That the 2024 tax ratios for the commercial and industrial subclasses be increased from 1.5% of the residential rate to 1.65%, to shift approximately $3,000,000 of the net tax requirement burden in 2024 from the residential tax class to the Commercial and Industrial tax classes.",Jeff Leal,Carried,10,1,0,0,finance_tax,finance_tax|finance_budget,known,3000000,shifts_tax_burden,2024_tax_policy,Commercial and industrial tax classes,minutes-2023-budget-finance,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=37518,verified_official_minutes,split_vote|tax_policy|financial_impact,This changes how the levy is distributed among tax classes; it does not reduce the City-wide tax requirement.
2023-11-legacy-800k,2023-11-23,"Nov. 20–23, 2023",Finance Committee,Committee recommendation,Use $800K of Legacy income reserve to reduce the 2024 tax rate,"Finance Committee supported drawing $800,000 from the Legacy Fund Income Reserve to reduce the proposed 2024 all-inclusive tax-rate increase by 0.40 percentage points.","That funds be drawn from the Legacy Fund Income Reserve in the amount of $800,000 to reduce the proposed all-inclusive tax rate increase by 0.40%.",Jeff Leal,Carried,10,1,0,0,finance_budget,finance_budget|finance_tax|finance_debt,known,800000,reduces_tax_rate,one_time_2024,Legacy Fund Income Retention Reserve,minutes-2023-budget-finance,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=37518,verified_official_minutes,split_vote|reserve_use|financial_impact|budget_amendment,"This was the first of two one-time Legacy-income-reserve draws incorporated into the final 2024 budget; final Council later added another $510,000."
2023-11-casino-200k,2023-11-23,"Nov. 20–23, 2023",Finance Committee,Committee recommendation,Use $200K of Casino reserve to reduce the 2024 tax rate,"Finance Committee supported drawing $200,000 from the Casino Gaming Reserve to reduce the proposed all-inclusive tax-rate increase by 0.10 percentage points.","That funds be drawn from the Casino Gaming Reserve in the amount of $200,000 to reduce the proposed all-inclusive tax rate increase by 0.10%.",Jeff Leal,Carried,9,2,0,0,finance_budget,finance_budget|finance_tax|finance_debt,known,200000,reduces_tax_rate,one_time_2024,Casino Gaming Reserve,minutes-2023-budget-finance,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=37518,verified_official_minutes,split_vote|reserve_use|financial_impact|budget_amendment,
2023-11-traffic-calming-reallocation,2023-11-21,"Nov. 20–23, 2023",Finance Committee,Committee recommendation,Rework 2024 traffic-calming capital funding,"Finance Committee reduced the Traffic Calming Program by $600,000 and added $200,000 to the Transportation Safety Program from the Capital Levy Reserve.","Reduce Capital Project 21-093 Traffic Calming Program by $600,000, from $700,000 to $100,000; and increase Capital Project 24-110 Transportation Safety Program by $200,000, funded from the Capital Levy Reserve.",Kevin Duguay,Carried,6,5,0,0,infrastructure,infrastructure|finance_budget|finance_debt,multi_component,,capital_reallocation,2024_capital,Capital Levy Reserve,minutes-2023-budget-finance,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=37518,verified_official_minutes,split_vote|capital_reallocation|budget_amendment,Two explicit amounts are involved ($600K reduction and $200K increase); the explorer does not collapse them into a single inferred fiscal impact.
2023-11-service-grants-43800,2023-11-23,"Nov. 20–23, 2023",Finance Committee,Committee recommendation,"Increase selected Service Grants by $43,800","Finance Committee approved a 1.5% adjustment for selected service-grant recipients, funded with $43,800 from the 2024 General Contingency provision.","Adjust funding of Service Grants to selected organizations to a 1.5% increase in 2024; the $43,800 increase shall be funded from the 2024 General Contingency provision.",Alex Bierk,Carried,6,5,0,0,external,external|finance_budget,known,43800,adds_grant_funding,one_time_2024,2024 General Contingency provision,minutes-2023-budget-finance,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=37518,verified_official_minutes,split_vote|financial_impact|budget_amendment,
2023-11-bonnerworth-design-250k,2023-11-23,"Nov. 20–23, 2023",Finance Committee,Committee recommendation,Pre-approve $250K for Bonnerworth-related design,"Finance Committee unanimously pre-approved $250,000 in the 2025 budget for initial active-transportation and road design associated with the Bonnerworth Park redevelopment.","That Council pre-approve $250,000 for the 2025 budget, funded from the capital levy, to support the initial design of active transportation and related road improvements to support the Bonnerworth Park redevelopment.",Lesley Parnell,Carried,11,0,0,0,recreation,recreation|infrastructure|finance_debt,known,250000,capital_precommitment,2025_capital_precommitment,Capital levy,minutes-2023-budget-finance,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=37518,verified_official_minutes,financial_impact|capital_precommitment,
2023-12-parkhill-reallocation-125k,2023-12-11,"Dec. 11, 2023",City Council,Final Council,Proposed Parkhill resurfacing deferral and $125K reallocation,"A motion to postpone resurfacing on part of Parkhill Road and transfer $125,000 to a new capital project for short-term improvements was defeated.","Postpone resurfacing of Parkhill Road from Medical Drive to Wallis Drive and transfer $125,000 from Capital Project #22-020 to a new capital project to initiate short-term improvement work.",Joy Lachica,Lost,2,8,0,1,infrastructure,infrastructure|finance_debt,known,125000,capital_reallocation,capital_project,Capital Project #22-020,minutes-2023-budget-council,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=37311,verified_official_minutes,split_vote|financial_impact|capital_reallocation,The motion would have reallocated existing capital funding; $125K is not treated as a new City-wide expenditure.
2023-12-physician-recruitment-226021,2023-12-11,"Dec. 11, 2023",City Council,Final Council,"Transfer $226,021 physician-recruitment budget to reserve","Council unanimously supported temporarily transferring $226,021 for physician recruitment to the Doctor Recruitment Incentive Reserve, with one member absent.","That the amount for Physician Recruitment of $226,021 be transferred temporarily to the Doctor Recruitment Incentive Reserve; and that staff report back in Q1 2024 about hiring a physician recruiter.",Keith Riel,Carried,10,0,0,1,health,health|finance_budget|finance_debt,known,226021,reserve_transfer,one_time_reserve_transfer,Doctor Recruitment Incentive Reserve,minutes-2023-budget-council,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=37311,verified_official_minutes,financial_impact|reserve_use,"This moves approved funding to a reserve rather than creating a new $226,021 levy impact."
2023-12-sherbrooke-ea-150k,2023-12-11,"Dec. 11, 2023",City Council,Final Council,Defer $150K Sherbrooke Street EA to reduce 2024 levy,"Council deferred the $150,000 Sherbrooke Street Reconstruction Class EA amendment and used the resulting Capital Levy financing reduction to reduce the 2024 net tax levy requirement.","That the Amendment to the Sherbrooke Street Reconstruction Class EA in the amount of $150,000 be deferred and the resulting reduction in Capital Levy financing be used to reduce the 2024 Net Tax Levy Requirement.",Keith Riel,Carried,8,2,0,1,infrastructure,infrastructure|finance_tax|finance_debt,known,150000,reduces_net_tax_levy,one_time_2024,Capital Levy,minutes-2023-budget-council,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=37311,verified_official_minutes,split_vote|financial_impact|budget_amendment,
2023-12-transit-fares-100k,2023-12-11,"Dec. 11, 2023",City Council,Final Council,Increase 2024 transit fares to add $100K revenue,"Council increased several Peterborough Transit fares and budgeted an additional $100,000 in public-transit fare revenue.","That Public Transit Fare Revenues in the 2024 Budget be increased by $100,000 and proposed Transit Rates be amended, including increasing the single ride from $2.75 to $3.00.",Keith Riel,Carried,10,0,0,1,transit,transit|finance_budget|finance_tax,known,100000,increases_service_revenue,2024_operating,Transit fares,minutes-2023-budget-council,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=37311,verified_official_minutes,financial_impact|user_fee_change,"The $100K is additional budgeted service revenue, not an expenditure."
2025-02-free-transit-youth-33400,2025-02-03,"Feb. 3, 2025",City Council,Final Council,"Fund free transit for youth at $33,400","Council approved implementing free transit for youth and high-school students by September 2025 with $33,400 from the 2025 tax levy.","That the free transit program for youth and high school students be implemented by September 2025 and that a budget of $33,400 be assigned to this program, with the funds drawn from the Tax Levy for 2025.",Gary Baldwin,Carried,10,1,0,0,transit,transit|finance_budget|finance_tax,known,33400,increases_net_tax_levy,2025_operating,2025 tax levy,minutes-2025-final-budget-council,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=39500,verified_official_minutes,split_vote|financial_impact|budget_amendment,
2025-02-climate-coordinator-eliminate,2025-02-03,"Feb. 3, 2025",City Council,Final Council,Eliminate vacant Climate Change Coordinator position,Council voted to eliminate the vacant Climate Change Coordinator position during final 2025 budget deliberations.,"That the Climate Change Coordinator position, currently vacant, be eliminated.",Matt Crowley,Carried,9,2,0,0,environment,environment|finance_budget,not_stated,,eliminates_position,2025_operating,,minutes-2025-final-budget-council,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=39500,verified_official_minutes,split_vote|budget_amendment,"The official motion does not state the exact dollar saving, so no amount is inferred."
2024-05-heritage-deadline-extension,2024-05-13,"May 13, 2024",General Committee,Committee recommendation,Request 2030 extension for Ontario Heritage Act listed-property deadline,"General Committee supported asking Ontario to extend the statutory deadline for processing listed heritage properties from January 1, 2025 to January 1, 2030.","That the City of Peterborough formally request the Province of Ontario to extend the deadline to process listed properties under the Ontario Heritage Act from January 1, 2025 to January 1, 2030, with the resolution circulated to relevant provincial officials.",Alex Bierk,Carried,10,1,0,0,development,development|governance,not_stated,,policy_direction,policy,,minutes-2024-may13-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=37934,verified_official_minutes,split_vote|planning_policy,The motion concerned provincial heritage-processing timelines; no direct dollar impact was stated in the recorded motion.
2024-06-asset-management-plan,2024-06-03,"June 3, 2024",General Committee,Committee recommendation,Approve the 2024 City Asset Management Plan,"General Committee unanimously approved the 2024 Asset Management Plan, which documents the condition, lifecycle needs and long-term management framework for municipal infrastructure.",That the 2024 City of Peterborough Asset Management Plan be approved.,Joy Lachica,Carried,11,0,0,0,infrastructure,infrastructure|finance_debt,not_stated,,planning_framework,long_term,,minutes-2024-june3-general,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=38164,verified_official_minutes,major_policy|asset_management,"The plan has major long-term financial relevance, but this approval motion itself did not state a single incremental dollar impact."
2025-04-council-comp-deferral,2025-04-22,"Apr. 22, 2025",General Committee,Committee recommendation,Proposed deferral of Council Compensation Review,A motion to defer the Council Compensation Review for additional comparator information was defeated 2–9.,That Report FCSFS25-008 be deferred for additional comparables.,Gary Baldwin,Lost,2,9,0,0,governance,governance|finance_budget,not_stated,,deferral,2026_2030_term,,minutes-2025-apr22-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=39905,verified_official_minutes,split_vote|compensation_policy,"This record captures the deferral motion, not the later substantive compensation recommendation."
