service_id,canonical_service,service_family,fiscal_year,amount_cad,measure_type,source_id,source_basis,normalization_method,comparability,review_status
airport,Peterborough Airport,Municipal Operations,2025,2203502,budgeted_net_requirement,budget-2026,2025 Approved in 2026 budget book,direct,high,published
airport,Peterborough Airport,Municipal Operations,2026,2196973,budgeted_net_requirement,budget-2026,2026 final budget overview,direct-final,high,published
library,Peterborough Public Library,Community Services,2022,3157661,budgeted_net_requirement,budget-2023-operating,2022 Approved library net requirement,direct,high,published
library,Peterborough Public Library,Community Services,2023,3283516,budgeted_net_requirement,budget-2024,2023 Approved in 2024 budget book,direct,high,published
library,Peterborough Public Library,Community Services,2024,3764273,budgeted_net_requirement,budget-2025,2024 Approved in 2025 budget book,direct,high,published
library,Peterborough Public Library,Community Services,2025,3835700,budgeted_net_requirement,budget-2026,2025 Approved in 2026 budget book,direct,high,published
library,Peterborough Public Library,Community Services,2026,4410418,budgeted_net_requirement,budget-2026,2026 final budget overview,direct-final,high,published
paramedics,Peterborough County/City Paramedics,Public Safety & External Services,2022,5431715,budgeted_net_requirement,budget-2023-operating,2022 Approved in 2023 operating book,direct,high,published
paramedics,Peterborough County/City Paramedics,Public Safety & External Services,2023,6132193,budgeted_net_requirement,budget-2024,2023 Approved in 2024 budget book,direct,high,published
paramedics,Peterborough County/City Paramedics,Public Safety & External Services,2024,6635904,budgeted_net_requirement,budget-2025,2024 Approved in 2025 budget book,direct,high,published
paramedics,Peterborough County/City Paramedics,Public Safety & External Services,2025,7298967,budgeted_net_requirement,budget-2026,2025 Approved in 2026 budget book,direct,high,published
paramedics,Peterborough County/City Paramedics,Public Safety & External Services,2026,7828597,budgeted_net_requirement,budget-2026,2026 final budget overview,direct-final,high,published
public_health,Public Health,Public Safety & External Services,2022,1343755,budgeted_net_requirement,budget-2023-operating,2022 Approved - Peterborough Public Health,direct,medium,published_with_scope_note
public_health,Public Health,Public Safety & External Services,2023,1541352,budgeted_net_requirement,budget-2024,2023 Approved - Peterborough Public Health,direct,medium,published_with_scope_note
public_health,Public Health,Public Safety & External Services,2024,1838499,budgeted_net_requirement,budget-2025,2024 Approved - Peterborough Public Health,direct,medium,published_with_scope_note
public_health,Public Health,Public Safety & External Services,2025,1912039,budgeted_net_requirement,budget-2026,2025 Approved - successor health unit transition period,direct,medium,published_with_scope_note
public_health,Public Health,Public Safety & External Services,2026,2007641,budgeted_net_requirement,budget-2026,2026 final - Lakelands Public Health,direct-final,medium,published_with_scope_note
fairhaven,Fairhaven,Public Safety & External Services,2022,1600000,budgeted_net_requirement,budget-2023-operating,2022 Approved in 2023 operating book,direct,high,published
fairhaven,Fairhaven,Public Safety & External Services,2023,1600000,budgeted_net_requirement,budget-2024,2023 Approved in 2024 budget book,direct,high,published
fairhaven,Fairhaven,Public Safety & External Services,2024,1646500,budgeted_net_requirement,budget-2025,2024 Approved in 2025 budget book,direct,high,published
fairhaven,Fairhaven,Public Safety & External Services,2025,1646500,budgeted_net_requirement,budget-2026,2025 Approved in 2026 budget book,direct,high,published
fairhaven,Fairhaven,Public Safety & External Services,2026,1703216,budgeted_net_requirement,budget-2026,2026 final budget overview,direct-final,high,published
public_works,Public Works (post-reorganization),Municipal Operations,2023,9339586,budgeted_net_requirement,budget-2024,2023 Approved Public Works in 2024 budget book,direct-post-reorg,qualified,published_with_scope_note
public_works,Public Works (post-reorganization),Municipal Operations,2024,9718320,budgeted_net_requirement,budget-2025,2024 Approved Public Works in 2025 budget book,direct-post-reorg,qualified,published_with_scope_note
public_works,Public Works (post-reorganization),Municipal Operations,2025,13040487,budgeted_net_requirement,budget-2026,2025 Approved Public Works in 2026 budget book,direct-post-reorg,qualified,published_with_scope_note
public_works,Public Works (post-reorganization),Municipal Operations,2026,13661707,budgeted_net_requirement,budget-2026,2026 final budget book Public Works table,direct-final-post-reorg,qualified,published_with_scope_note
recreation_parks_culture,"Recreation, Parks & Cultural Services",Community Services,2023,7737401,budgeted_net_requirement,budget-2024,2023 Approved Recreation & Parks plus Arts & Culture; Library excluded,canonical-family-sum,medium-high,published_with_scope_note
recreation_parks_culture,"Recreation, Parks & Cultural Services",Community Services,2024,7389979,budgeted_net_requirement,budget-2025,2024 Approved Recreation & Parks plus Arts & Culture; Library excluded,canonical-family-sum,medium-high,published_with_scope_note
recreation_parks_culture,"Recreation, Parks & Cultural Services",Community Services,2025,6686755,budgeted_net_requirement,budget-2026,"2025 Approved combined Recreation, Parks and Cultural Services; Library excluded",canonical-family-direct,medium-high,published_with_scope_note
recreation_parks_culture,"Recreation, Parks & Cultural Services",Community Services,2026,7073804,budgeted_net_requirement,budget-2026,"2026 final budget book combined Recreation, Parks and Cultural Services; Library excluded",canonical-family-direct-final,medium-high,published_with_scope_note
